Year,Cyclonic Disturbances - BOB,Cyclonic Disturbances - AS,Cyclonic Disturbances - LAND,Cyclonic Disturbances - TOTAL,Cyclones - BOB,Cyclones - AS,Cyclones - LAND,Cyclones - TOTAL,Severe Cyclones - BOB,Severe Cyclones - AS,Severe Cyclones - LAND,Severe Cyclones - TOTAL
1982,12,5,3,20,4,1,0,5,4,1,0,5
1983,4,1,3,8,3,0,0,3,2,0,0,2
1984,5,2,0,7,3,0,0,3,3,0,0,3
1985,11,2,2,15,6,1,0,7,2,0,0,2
1986,5,1,2,8,1,0,0,1,0,0,0,0
1987,6,0,3,9,5,0,0,5,3,0,0,3
1988,8,1,0,9,3,0,0,3,2,0,0,2
1989,9,1,0,10,3,0,0,3,2,0,0,2
1990,8,1,2,11,2,0,0,2,2,0,0,2
1991,8,0,0,8,3,0,0,3,1,0,0,1
1992,8,4,0,12,4,2,0,6,2,0,0,2
1993,4,1,0,5,1,1,0,2,1,1,0,2
1994,6,2,0,8,2,2,0,4,2,2,0,4
1995,7,1,0,8,2,1,0,3,2,0,0,2
1996,6,2,1,9,3,2,0,5,2,2,0,4
1997,8,1,0,9,3,0,0,3,2,0,0,2
1998,6,6,1,13,3,3,0,6,3,2,0,5
1999,7,1,1,9,3,1,0,4,2,1,0,3
2000,6,0,1,7,4,0,0,4,2,0,0,2
2001,3,3,0,6,1,3,0,4,0,1,0,1
2002,5,1,0,6,3,1,0,4,1,0,0,1
2003,6,1,0,7,2,1,0,3,2,1,0,3
2004,3,5,2,10,1,3,0,4,1,3,0,4
2005,9,2,1,12,4,0,0,4,0,0,0,0
2006,10,1,1,12,2,1,0,3,1,1,0,2
2007,9,3,0,12,2,2,0,4,1,1,0,2
2008,7,2,1,10,3,0,1,4,1,0,0,1
2009,5,3,0,8,3,1,0,4,1,0,0,1
2010,6,2,0,8,3,2,0,5,3,1,0,4
2011,4,5,1,10,0,2,0,2,0,1,0,1
2012,3,2,0,5,1,1,0,2,0,0,0,0
2013,8,1,1,10,5,0,0,5,4,0,0,4
2014,5,2,1,8,1,2,0,3,1,1,0,2
2015,3,5,4,12,1,3,0,4,0,2,0,2
2016,6,2,2,10,4,0,0,4,1,0,0,1
2017,8,0,2,10,3,0,0,3,2,0,0,2
2018,9,4,1,14,4,3,0,7,3,3,0,6
2019,4,8,0,12,3,5,0,8,2,5,0,7
2020,2,6,4,12,3,1,0,1,3,4,0,7
2021,4,2,2,8,4,3,1,8,4,3,0,7
2022,8,4,1,13,4,3,0,7,3,3,0,6
2023,4,3,1,8,1,2,0,3,3,1,0,4
